song, artist, year
I GOTTA FEELING, Black Eyed Peas, 2009
BAD ROMANCE, Lady Gaga, 2009
HEY THERE DELILAH, Plain White T's, 2007
STAN, Eminem ft Dido, 2000
IN DA CLUB, 50 Cent, 2002
DISTURBIA, Rihanna, 2008
YELLOW, Coldplay, 2000
BYE BYE BYE, N Sync, 2002
HOLLABACK GIRL, Gwen Stefani, 2005
SO WHAT, Pink, 2008
HOT N COLD, Katy Perry, 2008
COMPLICATED, Avril Lavigne, 2002
TOXIC, Britney Spears, 2004
CANDY SHOP, 50 Cent, 2005
HIPS DONT LIE, Shakira, 2006
end, end, end
